Dataset,Seed,Time,Sol.Quality,Full Tour,RelError_Approx
Atlanta.tsp,42.0,1.38245,2486842.0,Yes,0.8277437810685199
Atlanta.tsp,43.0,1.2638,2488307.0,Yes,0.8215549769381351
Atlanta.tsp,44.0,1.25965,2500425.0,Yes,0.8063917134087205
Atlanta.tsp,45.0,1.19995,2490014.0,Yes,0.8241797034072901
Atlanta.tsp,46.0,1.1871,2477233.0,Yes,0.828236988607854
Atlanta.tsp,47.0,1.1607,2495163.0,Yes,0.8234291707595857
Atlanta.tsp,48.0,1.2401,2453860.0,Yes,0.8247328698458755
Atlanta.tsp,49.0,1.3219500000000002,2477233.0,Yes,0.8293890804780979
Atlanta.tsp,50.0,1.2075,2486842.0,Yes,0.8057460023596191
Atlanta.tsp,51.0,1.15225,2312426.0,Yes,0.8719509294567697
Berlin.tsp,42.0,1.2008,10126.0,Yes,1.0602409638554218
Berlin.tsp,43.0,1.184,9976.0,Yes,1.1028468323977547
Berlin.tsp,44.0,1.3253,9931.0,Yes,1.0651495317692075
Berlin.tsp,45.0,1.3857,10267.0,Yes,0.974286549138015
Berlin.tsp,46.0,1.1541,10194.0,Yes,1.0361977633902295
Berlin.tsp,47.0,1.1503,9588.0,Yes,1.2196495619524406
Berlin.tsp,48.0,1.229,10154.0,Yes,1.0021666338388813
Berlin.tsp,49.0,1.1664,10194.0,Yes,1.0250147145379636
Berlin.tsp,50.0,1.2288,10108.0,Yes,1.010387811634349
Berlin.tsp,51.0,1.1383,9867.0,Yes,1.0250329380764163
Boston.tsp,42.0,1.4032,1061299.0,Yes,0.9365711265157133
Boston.tsp,43.0,1.1591,1050695.0,Yes,0.9847805500168936
Boston.tsp,44.0,1.1352,1045369.0,Yes,0.8961132384832533
Boston.tsp,45.0,1.1434,1043190.0,Yes,0.9076179794668278
Boston.tsp,46.0,1.1948,1085113.0,Yes,0.8746729603276341
Boston.tsp,47.0,1.141,1125707.0,Yes,0.8836304651210306
Boston.tsp,48.0,1.1794,1129373.0,Yes,0.8280098780473767
Boston.tsp,49.0,1.1537,1085113.0,Yes,0.9135177626661923
Boston.tsp,50.0,1.1834,1085544.0,Yes,0.8783798722115363
Boston.tsp,51.0,1.413,1027795.0,Yes,0.9649706410325016
Champaign.tsp,42.0,1.2845,65587.0,Yes,1.0245323006083522
Champaign.tsp,43.0,1.2065,68357.0,Yes,0.9095776584695057
Champaign.tsp,44.0,1.1993,67546.0,Yes,1.0346282533384656
Champaign.tsp,45.0,1.2494,66093.0,Yes,1.0156748823627313
Champaign.tsp,46.0,1.4678,67315.0,Yes,1.0204412092401396
Champaign.tsp,47.0,1.3028,66516.0,Yes,1.01698839376992
Champaign.tsp,48.0,1.1749,67978.0,Yes,0.904689752567007
Champaign.tsp,49.0,1.1792,67315.0,Yes,0.9647329718487707
Champaign.tsp,50.0,1.1889,64759.0,Yes,1.112880063002826
Champaign.tsp,51.0,1.1704,67222.0,Yes,1.1245723126357443
Cincinnati.tsp,42.0,1.1235,320593.0,Yes,0.8669933529428279
Cincinnati.tsp,43.0,1.0919,318227.0,Yes,0.8734394001766035
Cincinnati.tsp,44.0,1.1085,307439.0,Yes,0.9040882906853067
Cincinnati.tsp,45.0,1.1124,307439.0,Yes,0.9115401754494388
Cincinnati.tsp,46.0,1.1102,320593.0,Yes,0.8669933529428279
Cincinnati.tsp,47.0,1.1513,309289.0,Yes,0.898680522100689
Cincinnati.tsp,48.0,1.15,317273.0,Yes,0.8760657225796081
Cincinnati.tsp,49.0,1.1221,320593.0,Yes,0.8669933529428279
Cincinnati.tsp,50.0,1.13,308670.0,Yes,0.9004827161693718
Cincinnati.tsp,51.0,1.141,309289.0,Yes,0.898680522100689
Denver.tsp,42.0,1.523,128256.0,Yes,1.4021878118762474
Denver.tsp,43.0,1.3651,127937.0,Yes,1.4622353189460437
Denver.tsp,44.0,1.402,127123.0,Yes,1.4270037680042165
Denver.tsp,45.0,1.2675,128336.0,Yes,1.4252431118314424
Denver.tsp,46.0,1.1694,129206.0,Yes,1.4205222667677972
Denver.tsp,47.0,1.2586,129598.0,Yes,1.3107069553542492
Denver.tsp,48.0,1.3463,129643.0,Yes,1.2326774295565515
Denver.tsp,49.0,1.3275,128223.0,Yes,1.2848942857365684
Denver.tsp,50.0,1.179,130778.0,Yes,1.3536604015965987
Denver.tsp,51.0,1.2176,128073.0,Yes,1.3382992512082952
NYC.tsp,42.0,1.1626,1891838.0,Yes,1.1480898470164993
NYC.tsp,43.0,1.1614,1937161.0,Yes,1.1776636015282158
NYC.tsp,44.0,1.1507,1845662.0,Yes,1.1928094093067962
NYC.tsp,45.0,1.2275,1845662.0,Yes,1.151776977583111
NYC.tsp,46.0,1.144,1855713.0,Yes,1.1990803534813843
NYC.tsp,47.0,1.1879,1948652.0,Yes,1.296964773597338
NYC.tsp,48.0,1.1584,1948810.0,Yes,0.9453630677182485
NYC.tsp,49.0,1.1769,1896513.0,Yes,1.2320147555012806
NYC.tsp,50.0,1.165,1959210.0,Yes,1.0620627701981922
NYC.tsp,51.0,1.2912,1937026.0,Yes,1.1340627332828779
Philadelphia.tsp,42.0,1.1039,1733719.0,Yes,0.817290460564832
Philadelphia.tsp,43.0,1.124,1728475.0,Yes,0.8294299888630151
Philadelphia.tsp,44.0,1.0924,1697277.0,Yes,0.8483612280140483
Philadelphia.tsp,45.0,1.0985,1722191.0,Yes,0.8958024980969009
Philadelphia.tsp,46.0,1.1503,1723248.0,Yes,0.9159697269342544
Philadelphia.tsp,47.0,1.1167,1668712.0,Yes,0.8651319101199009
Philadelphia.tsp,48.0,1.2082,1715300.0,Yes,0.8397248294758934
Philadelphia.tsp,49.0,1.441,1693572.0,Yes,0.8321275977637798
Philadelphia.tsp,50.0,1.2284,1685283.0,Yes,0.9209165463604629
Philadelphia.tsp,51.0,1.2451,1695100.0,Yes,0.8523756710518553
Roanoke.tsp,42.0,1.3229,802562.0,Yes,4.470587942115375
Roanoke.tsp,43.0,1.2979,802080.0,Yes,3.735277029722721
Roanoke.tsp,44.0,1.2703,794281.0,Yes,4.235099416956971
Roanoke.tsp,45.0,1.2865,801675.0,Yes,3.480936788598871
Roanoke.tsp,46.0,1.3365,803892.0,Yes,4.0843707861255
Roanoke.tsp,47.0,1.3489,806892.0,Yes,4.002873990571229
Roanoke.tsp,48.0,1.4005,795380.0,Yes,4.106139203902537
Roanoke.tsp,49.0,1.3983,795431.0,Yes,4.081350865128465
Roanoke.tsp,50.0,1.2412,795468.0,Yes,3.8539438418641603
Roanoke.tsp,51.0,1.5159,795524.0,Yes,3.928259863938737
SanFrancisco.tsp,42.0,1.221,1078204.0,Yes,1.5054488760939488
SanFrancisco.tsp,43.0,1.2468,1045326.0,Yes,1.621321960804572
SanFrancisco.tsp,44.0,1.2253,1076544.0,Yes,1.5694769558884727
SanFrancisco.tsp,45.0,1.1423,1069058.0,Yes,1.5568313412368646
SanFrancisco.tsp,46.0,1.4553,1078212.0,Yes,1.536236843960186
SanFrancisco.tsp,47.0,1.2883,1068233.0,Yes,1.526318696389271
SanFrancisco.tsp,48.0,1.239,1068021.0,Yes,1.5861710584342443
SanFrancisco.tsp,49.0,1.2275,1090167.0,Yes,1.6347715533491658
SanFrancisco.tsp,50.0,1.1216,1045326.0,Yes,1.531162527288138
SanFrancisco.tsp,51.0,1.1429,1093751.0,Yes,1.5730563903484431
Toronto.tsp,42.0,1.4141,1652074.0,Yes,1.7204017495584338
Toronto.tsp,43.0,1.5824,1651938.0,Yes,1.9897054247798647
Toronto.tsp,44.0,1.6193,1651069.0,Yes,1.6945142813534746
Toronto.tsp,45.0,1.5124,1650915.0,Yes,1.717966097588307
Toronto.tsp,46.0,1.4634,1607855.0,Yes,1.7449782474165891
Toronto.tsp,47.0,1.4225,1623952.0,Yes,1.8630624550479324
Toronto.tsp,48.0,1.5781,1676544.0,Yes,1.6768775528706672
Toronto.tsp,49.0,1.531,1597242.0,Yes,1.5872147113587045
Toronto.tsp,50.0,1.2923,1628988.0,Yes,1.9349473415396552
Toronto.tsp,51.0,1.1856,1662499.0,Yes,1.5692719213665693
UKansasState.tsp,42.0,1.1284,70143.0,Yes,0.8976234264288667
UKansasState.tsp,43.0,1.1146,70318.0,Yes,0.8953895161978441
UKansasState.tsp,44.0,1.1116,69987.0,Yes,0.8996242159258148
UKansasState.tsp,45.0,1.1581,69987.0,Yes,0.8996242159258148
UKansasState.tsp,46.0,1.2552,70143.0,Yes,0.8976234264288667
UKansasState.tsp,47.0,1.1268,71542.0,Yes,0.8800704481283721
UKansasState.tsp,48.0,1.0975,67636.0,Yes,0.9308947897569342
UKansasState.tsp,49.0,1.1381,70143.0,Yes,0.8976234264288667
UKansasState.tsp,50.0,1.1314,70944.0,Yes,0.8874887235002256
UKansasState.tsp,51.0,1.1358,70318.0,Yes,0.8953895161978441
UMissouri.tsp,42.0,7.9252,171306.0,Yes,1.532047914258695
UMissouri.tsp,43.0,1.1941,165181.0,Yes,1.495686549905861
UMissouri.tsp,44.0,1.1563,171054.0,Yes,1.6964993510821145
UMissouri.tsp,45.0,1.2959,170078.0,Yes,1.6422464986653182
UMissouri.tsp,46.0,1.1953,166855.0,Yes,1.593029876239849
UMissouri.tsp,47.0,1.2429,169548.0,Yes,1.5039870715077737
UMissouri.tsp,48.0,1.2046,170112.0,Yes,1.6587836249059442
UMissouri.tsp,49.0,1.1238,171483.0,Yes,1.381921240006298
UMissouri.tsp,50.0,1.1656,170432.0,Yes,1.639234416072099
UMissouri.tsp,51.0,1.1496,170155.0,Yes,1.5876994505010138
