Dataset,Algorithm,Cutoff,Seed,Time,Sol.Quality,Full Tour
Atlanta.tsp,LS,100.0,47.0,1.2736,2054590.0,Yes
Atlanta.tsp,LS,100.0,48.0,1.2124,2023779.0,Yes
Atlanta.tsp,LS,100.0,49.0,1.2261,2054590.0,Yes
Atlanta.tsp,LS,100.0,50.0,1.2238,2003763.0,Yes
Atlanta.tsp,LS,100.0,51.0,1.2411,2016322.0,Yes
Atlanta.tsp,LS,250.0,42.0,1.3627,2058468.0,Yes
Atlanta.tsp,LS,250.0,43.0,1.1907,2044281.0,Yes
Atlanta.tsp,LS,250.0,44.0,1.2835,2016322.0,Yes
Atlanta.tsp,LS,250.0,45.0,1.3195,2052219.0,Yes
Atlanta.tsp,LS,250.0,46.0,1.5329,2051736.0,Yes
Atlanta.tsp,LS,250.0,47.0,1.331,2054590.0,Yes
Atlanta.tsp,LS,250.0,48.0,1.2903,2023779.0,Yes
Atlanta.tsp,LS,250.0,49.0,1.2338,2054590.0,Yes
Atlanta.tsp,LS,250.0,50.0,1.3099,2003763.0,Yes
Atlanta.tsp,LS,250.0,51.0,1.247,2016322.0,Yes
Atlanta.tsp,LS,500.0,42.0,1.1899,2058468.0,Yes
Atlanta.tsp,LS,500.0,43.0,1.2432,2044281.0,Yes
Atlanta.tsp,LS,500.0,44.0,1.2746,2016322.0,Yes
Atlanta.tsp,LS,500.0,45.0,1.4957,2052219.0,Yes
Atlanta.tsp,LS,500.0,46.0,1.4313,2051736.0,Yes
Atlanta.tsp,LS,500.0,47.0,1.5249,2054590.0,Yes
Atlanta.tsp,LS,500.0,48.0,1.5229,2023779.0,Yes
Atlanta.tsp,LS,500.0,49.0,1.2938,2054590.0,Yes
Atlanta.tsp,LS,500.0,50.0,1.2117,2003763.0,Yes
Atlanta.tsp,LS,500.0,51.0,1.2315,2016322.0,Yes
Berlin.tsp,LS,5.0,42.0,1.2711,10736.0,Yes
Berlin.tsp,LS,5.0,43.0,1.3395,11002.0,Yes
Berlin.tsp,LS,5.0,44.0,1.301,10578.0,Yes
Berlin.tsp,LS,5.0,45.0,1.3253,10003.0,Yes
Berlin.tsp,LS,5.0,46.0,1.3325,10563.0,Yes
Berlin.tsp,LS,5.0,47.0,1.6685,11694.0,Yes
Berlin.tsp,LS,5.0,48.0,1.3264,10176.0,Yes
Berlin.tsp,LS,5.0,49.0,1.3023,10449.0,Yes
Berlin.tsp,LS,5.0,50.0,1.2916,10213.0,Yes
Berlin.tsp,LS,5.0,51.0,1.3847,10114.0,Yes
Berlin.tsp,LS,10.0,42.0,1.3565,10736.0,Yes
Berlin.tsp,LS,10.0,43.0,1.2921,11002.0,Yes
Berlin.tsp,LS,10.0,44.0,1.8326,10578.0,Yes
Berlin.tsp,LS,10.0,45.0,1.6206,10003.0,Yes
Berlin.tsp,LS,10.0,46.0,1.5039,10563.0,Yes
Berlin.tsp,LS,10.0,47.0,1.5375,11694.0,Yes
Berlin.tsp,LS,10.0,48.0,1.6161,10176.0,Yes
Berlin.tsp,LS,10.0,49.0,1.4381,10449.0,Yes
Berlin.tsp,LS,10.0,50.0,1.4188,10213.0,Yes
Berlin.tsp,LS,10.0,51.0,1.4206,10114.0,Yes
Berlin.tsp,LS,15.0,42.0,1.3199,10736.0,Yes
Berlin.tsp,LS,15.0,43.0,1.4019,11002.0,Yes
Berlin.tsp,LS,15.0,44.0,1.352,10578.0,Yes
Berlin.tsp,LS,15.0,45.0,1.3518,10003.0,Yes
Berlin.tsp,LS,15.0,46.0,1.2888,10563.0,Yes
Berlin.tsp,LS,15.0,47.0,1.2806,11694.0,Yes
Berlin.tsp,LS,15.0,48.0,1.4747,10176.0,Yes
Berlin.tsp,LS,15.0,49.0,1.6134,10449.0,Yes
Berlin.tsp,LS,15.0,50.0,1.3153,10213.0,Yes
Berlin.tsp,LS,15.0,51.0,1.2623,10114.0,Yes
Berlin.tsp,LS,20.0,42.0,1.3064,10736.0,Yes
Berlin.tsp,LS,20.0,43.0,1.3046,11002.0,Yes
Berlin.tsp,LS,20.0,44.0,1.4284,10578.0,Yes
Berlin.tsp,LS,20.0,45.0,1.416,10003.0,Yes
Berlin.tsp,LS,20.0,46.0,1.3211,10563.0,Yes
Berlin.tsp,LS,20.0,47.0,1.2666,11694.0,Yes
Berlin.tsp,LS,20.0,48.0,1.311,10176.0,Yes
Berlin.tsp,LS,20.0,49.0,1.3155,10449.0,Yes
Berlin.tsp,LS,20.0,50.0,1.6423,10213.0,Yes
Berlin.tsp,LS,20.0,51.0,1.4069,10114.0,Yes
Berlin.tsp,LS,25.0,42.0,1.2936,10736.0,Yes
Berlin.tsp,LS,25.0,43.0,1.2635,11002.0,Yes
Berlin.tsp,LS,25.0,44.0,1.2794,10578.0,Yes
Berlin.tsp,LS,25.0,45.0,1.29,10003.0,Yes
Berlin.tsp,LS,25.0,46.0,1.2967,10563.0,Yes
Berlin.tsp,LS,25.0,47.0,1.2886,11694.0,Yes
Berlin.tsp,LS,25.0,48.0,1.2644,10176.0,Yes
Berlin.tsp,LS,25.0,49.0,1.3179,10449.0,Yes
Berlin.tsp,LS,25.0,50.0,1.2853,10213.0,Yes
Berlin.tsp,LS,25.0,51.0,1.371,10114.0,Yes
Berlin.tsp,LS,50.0,42.0,1.5381,10736.0,Yes
Berlin.tsp,LS,50.0,43.0,1.4132,11002.0,Yes
Berlin.tsp,LS,50.0,44.0,1.338,10578.0,Yes
Berlin.tsp,LS,50.0,45.0,1.3369,10003.0,Yes
Berlin.tsp,LS,50.0,46.0,1.2835,10563.0,Yes
Berlin.tsp,LS,50.0,47.0,1.2827,11694.0,Yes
Berlin.tsp,LS,50.0,48.0,1.3333,10176.0,Yes
Berlin.tsp,LS,50.0,49.0,1.296,10449.0,Yes
Berlin.tsp,LS,50.0,50.0,1.2971,10213.0,Yes
Berlin.tsp,LS,50.0,51.0,1.2728,10114.0,Yes
Berlin.tsp,LS,75.0,42.0,1.2974,10736.0,Yes
Berlin.tsp,LS,75.0,43.0,1.4733,11002.0,Yes
Berlin.tsp,LS,75.0,44.0,1.563,10578.0,Yes
Berlin.tsp,LS,75.0,45.0,1.2583,10003.0,Yes
Berlin.tsp,LS,75.0,46.0,1.3124,10563.0,Yes
Berlin.tsp,LS,75.0,47.0,1.2997,11694.0,Yes
Berlin.tsp,LS,75.0,48.0,1.2857,10176.0,Yes
Berlin.tsp,LS,75.0,49.0,1.3222,10449.0,Yes
Berlin.tsp,LS,75.0,50.0,1.2678,10213.0,Yes
Berlin.tsp,LS,75.0,51.0,1.3236,10114.0,Yes
Berlin.tsp,LS,100.0,42.0,1.3215,10736.0,Yes
Berlin.tsp,LS,100.0,43.0,1.3041,11002.0,Yes
Berlin.tsp,LS,100.0,44.0,1.2773,10578.0,Yes
Berlin.tsp,LS,100.0,45.0,1.5834,10003.0,Yes
Berlin.tsp,LS,100.0,46.0,1.3924,10563.0,Yes
Berlin.tsp,LS,100.0,47.0,1.3064,11694.0,Yes
Berlin.tsp,LS,100.0,48.0,1.3237,10176.0,Yes
Berlin.tsp,LS,100.0,49.0,1.2811,10449.0,Yes
Berlin.tsp,LS,100.0,50.0,1.2952,10213.0,Yes
Berlin.tsp,LS,100.0,51.0,1.2877,10114.0,Yes
Berlin.tsp,LS,250.0,42.0,1.3215,10736.0,Yes
Berlin.tsp,LS,250.0,43.0,1.3139,11002.0,Yes
Berlin.tsp,LS,250.0,44.0,1.3267,10578.0,Yes
Berlin.tsp,LS,250.0,45.0,1.2679,10003.0,Yes
Berlin.tsp,LS,250.0,46.0,1.391,10563.0,Yes
Berlin.tsp,LS,250.0,47.0,1.7374,11694.0,Yes
Berlin.tsp,LS,250.0,48.0,1.6602,10176.0,Yes
Berlin.tsp,LS,250.0,49.0,1.4421,10449.0,Yes
Berlin.tsp,LS,250.0,50.0,1.4786,10213.0,Yes
Berlin.tsp,LS,250.0,51.0,1.3384,10114.0,Yes
Berlin.tsp,LS,500.0,42.0,1.3044,10736.0,Yes
Berlin.tsp,LS,500.0,43.0,1.2723,11002.0,Yes
Berlin.tsp,LS,500.0,44.0,1.2739,10578.0,Yes
Berlin.tsp,LS,500.0,45.0,1.307,10003.0,Yes
Berlin.tsp,LS,500.0,46.0,1.272,10563.0,Yes
Berlin.tsp,LS,500.0,47.0,1.4587,11694.0,Yes
Berlin.tsp,LS,500.0,48.0,1.749,10176.0,Yes
Berlin.tsp,LS,500.0,49.0,1.4456,10449.0,Yes
Berlin.tsp,LS,500.0,50.0,1.3081,10213.0,Yes
Berlin.tsp,LS,500.0,51.0,1.3064,10114.0,Yes
Boston.tsp,LS,5.0,42.0,1.3898,993982.0,Yes
Boston.tsp,LS,5.0,43.0,1.4023,1034704.0,Yes
Boston.tsp,LS,5.0,44.0,1.6751,936769.0,Yes
Boston.tsp,LS,5.0,45.0,1.3409,946818.0,Yes
Boston.tsp,LS,5.0,46.0,1.2802,949119.0,Yes
Boston.tsp,LS,5.0,47.0,1.2878,994709.0,Yes
Boston.tsp,LS,5.0,48.0,1.2398,935132.0,Yes
Boston.tsp,LS,5.0,49.0,1.2983,991270.0,Yes
Boston.tsp,LS,5.0,50.0,1.2749,953520.0,Yes
Boston.tsp,LS,5.0,51.0,1.3619,991792.0,Yes
Boston.tsp,LS,10.0,42.0,1.3955,993982.0,Yes
Boston.tsp,LS,10.0,43.0,1.4287,1034704.0,Yes
Boston.tsp,LS,10.0,44.0,1.3459,936769.0,Yes
Boston.tsp,LS,10.0,45.0,1.5373,946818.0,Yes
Boston.tsp,LS,10.0,46.0,1.5185,949119.0,Yes
Boston.tsp,LS,10.0,47.0,1.2918,994709.0,Yes
Boston.tsp,LS,10.0,48.0,1.3043,935132.0,Yes
Boston.tsp,LS,10.0,49.0,1.2882,991270.0,Yes
Boston.tsp,LS,10.0,50.0,1.3161,953520.0,Yes
Boston.tsp,LS,10.0,51.0,1.2515,991792.0,Yes
Boston.tsp,LS,15.0,42.0,1.3013,993982.0,Yes
Boston.tsp,LS,15.0,43.0,1.2681,1034704.0,Yes
Boston.tsp,LS,15.0,44.0,1.3268,936769.0,Yes
Boston.tsp,LS,15.0,45.0,1.3251,946818.0,Yes
Boston.tsp,LS,15.0,46.0,1.2962,949119.0,Yes
Boston.tsp,LS,15.0,47.0,1.5981,994709.0,Yes
Boston.tsp,LS,15.0,48.0,1.3986,935132.0,Yes
Boston.tsp,LS,15.0,49.0,1.3081,991270.0,Yes
Boston.tsp,LS,15.0,50.0,1.3267,953520.0,Yes
Boston.tsp,LS,15.0,51.0,1.3229,991792.0,Yes
Boston.tsp,LS,20.0,42.0,1.2872,993982.0,Yes
Boston.tsp,LS,20.0,43.0,1.3095,1034704.0,Yes
Boston.tsp,LS,20.0,44.0,1.2818,936769.0,Yes
Boston.tsp,LS,20.0,45.0,1.2903,946818.0,Yes
Boston.tsp,LS,20.0,46.0,1.2385,949119.0,Yes
Boston.tsp,LS,20.0,47.0,1.2868,994709.0,Yes
Boston.tsp,LS,20.0,48.0,1.42,935132.0,Yes
Boston.tsp,LS,20.0,49.0,1.5626,991270.0,Yes
Boston.tsp,LS,20.0,50.0,1.2781,953520.0,Yes
Boston.tsp,LS,20.0,51.0,1.2491,991792.0,Yes
Boston.tsp,LS,25.0,42.0,1.2694,993982.0,Yes
Boston.tsp,LS,25.0,43.0,1.2508,1034704.0,Yes
Boston.tsp,LS,25.0,44.0,1.3404,936769.0,Yes
Boston.tsp,LS,25.0,45.0,1.268,946818.0,Yes
Boston.tsp,LS,25.0,46.0,1.2747,949119.0,Yes
Boston.tsp,LS,25.0,47.0,1.2477,994709.0,Yes
Boston.tsp,LS,25.0,48.0,1.2813,935132.0,Yes
Boston.tsp,LS,25.0,49.0,1.2726,991270.0,Yes
Boston.tsp,LS,25.0,50.0,1.4076,953520.0,Yes
Boston.tsp,LS,25.0,51.0,1.5098,991792.0,Yes
Boston.tsp,LS,50.0,42.0,1.2415,993982.0,Yes
Boston.tsp,LS,50.0,43.0,1.2952,1034704.0,Yes
Boston.tsp,LS,50.0,44.0,1.2477,936769.0,Yes
Boston.tsp,LS,50.0,45.0,1.2927,946818.0,Yes
Boston.tsp,LS,50.0,46.0,1.2371,949119.0,Yes
Boston.tsp,LS,50.0,47.0,1.2518,994709.0,Yes
Boston.tsp,LS,50.0,48.0,1.2608,935132.0,Yes
Boston.tsp,LS,50.0,49.0,1.2664,991270.0,Yes
Boston.tsp,LS,50.0,50.0,1.2474,953520.0,Yes
Boston.tsp,LS,50.0,51.0,1.2978,991792.0,Yes
Boston.tsp,LS,75.0,42.0,1.4672,993982.0,Yes
Boston.tsp,LS,75.0,43.0,1.451,1034704.0,Yes
Boston.tsp,LS,75.0,44.0,1.2678,936769.0,Yes
Boston.tsp,LS,75.0,45.0,1.227,946818.0,Yes
Boston.tsp,LS,75.0,46.0,1.2535,949119.0,Yes
Boston.tsp,LS,75.0,47.0,1.2574,994709.0,Yes
Boston.tsp,LS,75.0,48.0,1.2499,935132.0,Yes
Boston.tsp,LS,75.0,49.0,1.2516,991270.0,Yes
Boston.tsp,LS,75.0,50.0,1.2518,953520.0,Yes
Boston.tsp,LS,75.0,51.0,1.2779,991792.0,Yes
Boston.tsp,LS,100.0,42.0,1.2625,993982.0,Yes
Boston.tsp,LS,100.0,43.0,1.2599,1034704.0,Yes
Boston.tsp,LS,100.0,44.0,1.4034,936769.0,Yes
Boston.tsp,LS,100.0,45.0,1.5095,946818.0,Yes
Boston.tsp,LS,100.0,46.0,1.2968,949119.0,Yes
Boston.tsp,LS,100.0,47.0,1.2533,994709.0,Yes
Boston.tsp,LS,100.0,48.0,1.2338,935132.0,Yes
Boston.tsp,LS,100.0,49.0,1.2456,991270.0,Yes
Boston.tsp,LS,100.0,50.0,1.2964,953520.0,Yes
Boston.tsp,LS,100.0,51.0,1.2297,991792.0,Yes
Boston.tsp,LS,250.0,42.0,1.2897,993982.0,Yes
Boston.tsp,LS,250.0,43.0,1.2484,1034704.0,Yes
Boston.tsp,LS,250.0,44.0,1.2515,936769.0,Yes
Boston.tsp,LS,250.0,45.0,1.2688,946818.0,Yes
Boston.tsp,LS,250.0,46.0,1.4177,949119.0,Yes
Boston.tsp,LS,250.0,47.0,1.5107,994709.0,Yes
Boston.tsp,LS,250.0,48.0,1.3252,935132.0,Yes
Boston.tsp,LS,250.0,49.0,1.3714,991270.0,Yes
Boston.tsp,LS,250.0,50.0,1.2351,953520.0,Yes
Boston.tsp,LS,250.0,51.0,1.2874,991792.0,Yes
Boston.tsp,LS,500.0,42.0,1.2183,993982.0,Yes
Boston.tsp,LS,500.0,43.0,1.2658,1034704.0,Yes
Boston.tsp,LS,500.0,44.0,1.2556,936769.0,Yes
Boston.tsp,LS,500.0,45.0,1.274,946818.0,Yes
Boston.tsp,LS,500.0,46.0,1.2635,949119.0,Yes
Boston.tsp,LS,500.0,47.0,1.255,994709.0,Yes
Boston.tsp,LS,500.0,48.0,1.4695,935132.0,Yes
Boston.tsp,LS,500.0,49.0,1.4483,991270.0,Yes
Boston.tsp,LS,500.0,50.0,1.2881,953520.0,Yes
Boston.tsp,LS,500.0,51.0,1.2543,991792.0,Yes
Champaign.tsp,LS,5.0,42.0,1.3615,67196.0,Yes
Champaign.tsp,LS,5.0,43.0,1.2815,62176.0,Yes
Champaign.tsp,LS,5.0,44.0,1.3434,69885.0,Yes
Champaign.tsp,LS,5.0,45.0,1.2733,67129.0,Yes
Champaign.tsp,LS,5.0,46.0,1.3435,68691.0,Yes
Champaign.tsp,LS,5.0,47.0,1.3095,67646.0,Yes
Champaign.tsp,LS,5.0,48.0,1.6094,61499.0,Yes
Champaign.tsp,LS,5.0,49.0,1.4289,64941.0,Yes
Champaign.tsp,LS,5.0,50.0,1.3463,72069.0,Yes
Champaign.tsp,LS,5.0,51.0,1.2862,75596.0,Yes
Champaign.tsp,LS,10.0,42.0,1.2982,67196.0,Yes
Champaign.tsp,LS,10.0,43.0,1.3383,62176.0,Yes
Champaign.tsp,LS,10.0,44.0,1.2898,69885.0,Yes
Champaign.tsp,LS,10.0,45.0,1.3495,67129.0,Yes
Champaign.tsp,LS,10.0,46.0,1.2963,68691.0,Yes
Champaign.tsp,LS,10.0,47.0,1.3387,67646.0,Yes
Champaign.tsp,LS,10.0,48.0,1.2767,61499.0,Yes
Champaign.tsp,LS,10.0,49.0,1.7748,64941.0,Yes
Champaign.tsp,LS,10.0,50.0,1.6947,72069.0,Yes
Champaign.tsp,LS,10.0,51.0,1.5365,75596.0,Yes
Champaign.tsp,LS,15.0,42.0,1.4123,67196.0,Yes
Champaign.tsp,LS,15.0,43.0,1.4586,62176.0,Yes
Champaign.tsp,LS,15.0,44.0,1.4373,69885.0,Yes
Champaign.tsp,LS,15.0,45.0,1.3915,67129.0,Yes
Champaign.tsp,LS,15.0,46.0,1.3297,68691.0,Yes
Champaign.tsp,LS,15.0,47.0,1.3132,67646.0,Yes
Champaign.tsp,LS,15.0,48.0,1.3071,61499.0,Yes
Champaign.tsp,LS,15.0,49.0,1.3203,64941.0,Yes
Champaign.tsp,LS,15.0,50.0,1.4837,72069.0,Yes
Champaign.tsp,LS,15.0,51.0,1.5599,75596.0,Yes
Champaign.tsp,LS,20.0,42.0,1.3055,67196.0,Yes
Champaign.tsp,LS,20.0,43.0,1.341,62176.0,Yes
Champaign.tsp,LS,20.0,44.0,1.3122,69885.0,Yes
Champaign.tsp,LS,20.0,45.0,1.3542,67129.0,Yes
Champaign.tsp,LS,20.0,46.0,1.4365,68691.0,Yes
Champaign.tsp,LS,20.0,47.0,1.3261,67646.0,Yes
Champaign.tsp,LS,20.0,48.0,1.336,61499.0,Yes
Champaign.tsp,LS,20.0,49.0,1.3117,64941.0,Yes
Champaign.tsp,LS,20.0,50.0,1.4333,72069.0,Yes
Champaign.tsp,LS,20.0,51.0,1.4279,75596.0,Yes
Champaign.tsp,LS,25.0,42.0,1.6156,67196.0,Yes
Champaign.tsp,LS,25.0,43.0,1.3012,62176.0,Yes
Champaign.tsp,LS,25.0,44.0,1.2989,69885.0,Yes
Champaign.tsp,LS,25.0,45.0,1.2719,67129.0,Yes
Champaign.tsp,LS,25.0,46.0,1.3192,68691.0,Yes
Champaign.tsp,LS,25.0,47.0,1.2883,67646.0,Yes
Champaign.tsp,LS,25.0,48.0,1.3065,61499.0,Yes
Champaign.tsp,LS,25.0,49.0,1.3062,64941.0,Yes
Champaign.tsp,LS,25.0,50.0,1.2826,72069.0,Yes
Champaign.tsp,LS,25.0,51.0,1.2922,75596.0,Yes
Champaign.tsp,LS,50.0,42.0,1.2987,67196.0,Yes
Champaign.tsp,LS,50.0,43.0,1.5895,62176.0,Yes
Champaign.tsp,LS,50.0,44.0,1.5359,69885.0,Yes
Champaign.tsp,LS,50.0,45.0,1.2994,67129.0,Yes
Champaign.tsp,LS,50.0,46.0,1.3063,68691.0,Yes
Champaign.tsp,LS,50.0,47.0,1.3356,67646.0,Yes
Champaign.tsp,LS,50.0,48.0,1.2843,61499.0,Yes
Champaign.tsp,LS,50.0,49.0,1.3312,64941.0,Yes
Champaign.tsp,LS,50.0,50.0,1.331,72069.0,Yes
Champaign.tsp,LS,50.0,51.0,1.3491,75596.0,Yes
Champaign.tsp,LS,75.0,42.0,1.2892,67196.0,Yes
Champaign.tsp,LS,75.0,43.0,1.3346,62176.0,Yes
Champaign.tsp,LS,75.0,44.0,1.4736,69885.0,Yes
Champaign.tsp,LS,75.0,45.0,1.5859,67129.0,Yes
Champaign.tsp,LS,75.0,46.0,1.3563,68691.0,Yes
Champaign.tsp,LS,75.0,47.0,1.3396,67646.0,Yes
Champaign.tsp,LS,75.0,48.0,1.2799,61499.0,Yes
Champaign.tsp,LS,75.0,49.0,1.3115,64941.0,Yes
Champaign.tsp,LS,75.0,50.0,1.3411,72069.0,Yes
Champaign.tsp,LS,75.0,51.0,1.2842,75596.0,Yes
Champaign.tsp,LS,100.0,42.0,1.3086,67196.0,Yes
Champaign.tsp,LS,100.0,43.0,1.3211,62176.0,Yes
Champaign.tsp,LS,100.0,44.0,1.325,69885.0,Yes
Champaign.tsp,LS,100.0,45.0,1.3414,67129.0,Yes
Champaign.tsp,LS,100.0,46.0,1.6475,68691.0,Yes
Champaign.tsp,LS,100.0,47.0,1.377,67646.0,Yes
Champaign.tsp,LS,100.0,48.0,1.372,61499.0,Yes
Champaign.tsp,LS,100.0,49.0,1.3495,64941.0,Yes
Champaign.tsp,LS,100.0,50.0,1.3044,72069.0,Yes
Champaign.tsp,LS,100.0,51.0,1.3452,75596.0,Yes
Champaign.tsp,LS,250.0,42.0,1.3234,67196.0,Yes
Champaign.tsp,LS,250.0,43.0,1.3011,62176.0,Yes
Champaign.tsp,LS,250.0,44.0,1.2777,69885.0,Yes
Champaign.tsp,LS,250.0,45.0,1.3334,67129.0,Yes
Champaign.tsp,LS,250.0,46.0,1.3151,68691.0,Yes
Champaign.tsp,LS,250.0,47.0,1.5405,67646.0,Yes
Champaign.tsp,LS,250.0,48.0,1.5025,61499.0,Yes
Champaign.tsp,LS,250.0,49.0,1.3311,64941.0,Yes
Champaign.tsp,LS,250.0,50.0,1.3475,72069.0,Yes
Champaign.tsp,LS,250.0,51.0,1.3494,75596.0,Yes
Champaign.tsp,LS,500.0,42.0,1.2845,67196.0,Yes
Champaign.tsp,LS,500.0,43.0,1.348,62176.0,Yes
Champaign.tsp,LS,500.0,44.0,1.3139,69885.0,Yes
Champaign.tsp,LS,500.0,45.0,1.3184,67129.0,Yes
Champaign.tsp,LS,500.0,46.0,1.293,68691.0,Yes
Champaign.tsp,LS,500.0,47.0,1.2871,67646.0,Yes
Champaign.tsp,LS,500.0,48.0,1.3638,61499.0,Yes
Champaign.tsp,LS,500.0,49.0,1.6651,64941.0,Yes
Champaign.tsp,LS,500.0,50.0,1.3699,72069.0,Yes
Champaign.tsp,LS,500.0,51.0,1.3187,75596.0,Yes
