Series Description,"MOODY'S YIELD ON SEASONED CORPORATE BONDS - ALL INDUSTRIES, BAA"
Unit:,Percent:_Per_Year
Multiplier:,1
Currency:,NA
Unique Identifier: ,H15/H15/RIMLPBAAR_N.M
Time Period,RIMLPBAAR_N.M
1919-01,7.12
1919-02,7.2
1919-03,7.15
1919-04,7.23
1919-05,7.09
1919-06,7.04
1919-07,7.06
1919-08,7.13
1919-09,7.27
1919-10,7.34
1919-11,7.54
1919-12,7.77
1920-01,7.78
1920-02,7.94
1920-03,7.97
1920-04,8.17
1920-05,8.39
1920-06,8.39
1920-07,8.52
1920-08,8.39
1920-09,8.14
1920-10,7.99
1920-11,8.21
1920-12,8.56
1921-01,8.5
1921-02,8.42
1921-03,8.55
1921-04,8.53
1921-05,8.52
1921-06,8.56
1921-07,8.48
1921-08,8.51
1921-09,8.34
1921-10,8.34
1921-11,7.88
1921-12,7.61
1922-01,7.7
1922-02,7.55
1922-03,7.45
1922-04,7.14
1922-05,6.89
1922-06,6.97
1922-07,6.89
1922-08,6.85
1922-09,6.75
1922-10,6.78
1922-11,6.98
1922-12,7.02
1923-01,6.98
1923-02,6.97
1923-03,7.09
1923-04,7.17
1923-05,7.17
1923-06,7.21
1923-07,7.34
1923-08,7.38
1923-09,7.38
1923-10,7.46
1923-11,7.4
1923-12,7.38
1924-01,7.24
1924-02,7.14
1924-03,7.08
1924-04,7.03
1924-05,6.97
1924-06,6.82
1924-07,6.67
1924-08,6.69
1924-09,6.73
1924-10,6.62
1924-11,6.54
1924-12,6.46
1925-01,6.44
1925-02,6.36
1925-03,6.36
1925-04,6.41
1925-05,6.3
1925-06,6.18
1925-07,6.2
1925-08,6.24
1925-09,6.2
1925-10,6.17
1925-11,6.17
1925-12,6.15
1926-01,6.09
1926-02,6.02
1926-03,6.05
1926-04,5.98
1926-05,5.86
1926-06,5.8
1926-07,5.79
1926-08,5.81
1926-09,5.79
1926-10,5.81
1926-11,5.77
1926-12,5.68
1927-01,5.61
1927-02,5.59
1927-03,5.54
1927-04,5.48
1927-05,5.5
1927-06,5.55
1927-07,5.55
1927-08,5.48
1927-09,5.42
1927-10,5.38
1927-11,5.35
1927-12,5.32
1928-01,5.35
1928-02,5.33
1928-03,5.32
1928-04,5.33
1928-05,5.42
1928-06,5.55
1928-07,5.58
1928-08,5.61
1928-09,5.59
1928-10,5.58
1928-11,5.55
1928-12,5.6
1929-01,5.63
1929-02,5.66
1929-03,5.79
1929-04,5.8
1929-05,5.8
1929-06,5.94
1929-07,5.95
1929-08,6.04
1929-09,6.12
1929-10,6.11
1929-11,6.03
1929-12,5.95
1930-01,5.92
1930-02,5.89
1930-03,5.73
1930-04,5.7
1930-05,5.72
1930-06,5.78
1930-07,5.77
1930-08,5.73
1930-09,5.65
1930-10,5.94
1930-11,6.25
1930-12,6.71
1931-01,6.41
1931-02,6.38
1931-03,6.44
1931-04,6.72
1931-05,7.15
1931-06,7.36
1931-07,7.08
1931-08,7.47
1931-09,8.07
1931-10,9.04
1931-11,8.93
1931-12,10.42
1932-01,9.13
1932-02,8.87
1932-03,8.83
1932-04,10.46
1932-05,11
1932-06,11
1932-07,10.79
1932-08,8.22
1932-09,7.61
1932-10,7.87
1932-11,8.24
1932-12,8.42
1933-01,8.01
1933-02,8.37
1933-03,8.91
1933-04,9.12
1933-05,7.74
1933-06,7.07
1933-07,6.62
1933-08,6.77
1933-09,7.27
1933-10,7.49
1933-11,7.98
1933-12,7.75
1934-01,7.01
1934-02,6.27
1934-03,6.26
1934-04,6.01
1934-05,6.05
1934-06,6.06
1934-07,6.13
1934-08,6.49
1934-09,6.57
1934-10,6.4
1934-11,6.37
1934-12,6.23
1935-01,5.98
1935-02,5.95
1935-03,6.2
1935-04,6.13
1935-05,5.94
1935-06,5.77
1935-07,5.67
1935-08,5.58
1935-09,5.53
1935-10,5.54
1935-11,5.43
1935-12,5.3
1936-01,5
1936-02,4.8
1936-03,4.86
1936-04,4.91
1936-05,4.94
1936-06,4.9
1936-07,4.84
1936-08,4.74
1936-09,4.62
1936-10,4.54
1936-11,4.52
1936-12,4.53
1937-01,4.49
1937-02,4.53
1937-03,4.68
1937-04,4.84
1937-05,4.84
1937-06,4.93
1937-07,4.91
1937-08,4.92
1937-09,5.16
1937-10,5.52
1937-11,5.82
1937-12,5.73
1938-01,5.89
1938-02,5.97
1938-03,6.3
1938-04,6.47
1938-05,6.06
1938-06,6.25
1938-07,5.63
1938-08,5.49
1938-09,5.65
1938-10,5.36
1938-11,5.23
1938-12,5.27
1939-01,5.12
1939-02,5.05
1939-03,4.89
1939-04,5.15
1939-05,5.07
1939-06,4.91
1939-07,4.84
1939-08,4.85
1939-09,5
1939-10,4.88
1939-11,4.85
1939-12,4.92
1940-01,4.86
1940-02,4.83
1940-03,4.8
1940-04,4.74
1940-05,4.94
1940-06,5.11
1940-07,4.8
1940-08,4.76
1940-09,4.66
1940-10,4.56
1940-11,4.48
1940-12,4.45
1941-01,4.38
1941-02,4.42
1941-03,4.38
1941-04,4.33
1941-05,4.32
1941-06,4.31
1941-07,4.28
1941-08,4.27
1941-09,4.3
1941-10,4.28
1941-11,4.28
1941-12,4.38
1942-01,4.29
1942-02,4.29
1942-03,4.3
1942-04,4.26
1942-05,4.27
1942-06,4.33
1942-07,4.3
1942-08,4.28
1942-09,4.26
1942-10,4.24
1942-11,4.25
1942-12,4.28
1943-01,4.16
1943-02,4.08
1943-03,4.01
1943-04,3.96
1943-05,3.91
1943-06,3.88
1943-07,3.81
1943-08,3.81
1943-09,3.83
1943-10,3.82
1943-11,3.83
1943-12,3.82
1944-01,3.76
1944-02,3.72
1944-03,3.7
1944-04,3.68
1944-05,3.63
1944-06,3.59
1944-07,3.57
1944-08,3.55
1944-09,3.56
1944-10,3.55
1944-11,3.53
1944-12,3.49
1945-01,3.46
1945-02,3.41
1945-03,3.38
1945-04,3.36
1945-05,3.32
1945-06,3.29
1945-07,3.26
1945-08,3.26
1945-09,3.24
1945-10,3.2
1945-11,3.15
1945-12,3.1
1946-01,3.01
1946-02,2.95
1946-03,2.94
1946-04,2.96
1946-05,3.02
1946-06,3.03
1946-07,3.03
1946-08,3.03
1946-09,3.1
1946-10,3.15
1946-11,3.17
1946-12,3.17
1947-01,3.13
1947-02,3.12
1947-03,3.15
1947-04,3.16
1947-05,3.17
1947-06,3.21
1947-07,3.18
1947-08,3.17
1947-09,3.23
1947-10,3.35
1947-11,3.44
1947-12,3.52
1948-01,3.52
1948-02,3.53
1948-03,3.53
1948-04,3.47
1948-05,3.38
1948-06,3.34
1948-07,3.37
1948-08,3.44
1948-09,3.45
1948-10,3.5
1948-11,3.53
1948-12,3.53
1949-01,3.46
1949-02,3.45
1949-03,3.47
1949-04,3.45
1949-05,3.45
1949-06,3.47
1949-07,3.46
1949-08,3.4
1949-09,3.37
1949-10,3.36
1949-11,3.35
1949-12,3.31
1950-01,3.24
1950-02,3.24
1950-03,3.24
1950-04,3.23
1950-05,3.25
1950-06,3.28
1950-07,3.32
1950-08,3.23
1950-09,3.21
1950-10,3.22
1950-11,3.22
1950-12,3.2
1951-01,3.17
1951-02,3.16
1951-03,3.23
1951-04,3.35
1951-05,3.4
1951-06,3.49
1951-07,3.53
1951-08,3.5
1951-09,3.46
1951-10,3.5
1951-11,3.56
1951-12,3.61
1952-01,3.59
1952-02,3.53
1952-03,3.51
1952-04,3.5
1952-05,3.49
1952-06,3.5
1952-07,3.5
1952-08,3.51
1952-09,3.52
1952-10,3.54
1952-11,3.53
1952-12,3.51
1953-01,3.51
1953-02,3.53
1953-03,3.57
1953-04,3.65
1953-05,3.78
1953-06,3.86
1953-07,3.86
1953-08,3.85
1953-09,3.88
1953-10,3.82
1953-11,3.75
1953-12,3.74
1954-01,3.71
1954-02,3.61
1954-03,3.51
1954-04,3.47
1954-05,3.47
1954-06,3.49
1954-07,3.5
1954-08,3.49
1954-09,3.47
1954-10,3.46
1954-11,3.45
1954-12,3.45
1955-01,3.45
1955-02,3.47
1955-03,3.48
1955-04,3.49
1955-05,3.5
1955-06,3.51
1955-07,3.52
1955-08,3.56
1955-09,3.59
1955-10,3.59
1955-11,3.58
1955-12,3.62
1956-01,3.6
1956-02,3.58
1956-03,3.6
1956-04,3.68
1956-05,3.73
1956-06,3.76
1956-07,3.8
1956-08,3.93
1956-09,4.07
1956-10,4.17
1956-11,4.24
1956-12,4.37
1957-01,4.49
1957-02,4.47
1957-03,4.43
1957-04,4.44
1957-05,4.52
1957-06,4.63
1957-07,4.73
1957-08,4.82
1957-09,4.93
1957-10,4.99
1957-11,5.09
1957-12,5.03
1958-01,4.83
1958-02,4.66
1958-03,4.68
1958-04,4.67
1958-05,4.62
1958-06,4.55
1958-07,4.53
1958-08,4.67
1958-09,4.87
1958-10,4.92
1958-11,4.87
1958-12,4.85
1959-01,4.87
1959-02,4.89
1959-03,4.85
1959-04,4.86
1959-05,4.96
1959-06,5.04
1959-07,5.08
1959-08,5.09
1959-09,5.18
1959-10,5.28
1959-11,5.26
1959-12,5.28
1960-01,5.34
1960-02,5.34
1960-03,5.25
1960-04,5.2
1960-05,5.28
1960-06,5.26
1960-07,5.22
1960-08,5.08
1960-09,5.01
1960-10,5.11
1960-11,5.08
1960-12,5.1
1961-01,5.1
1961-02,5.07
1961-03,5.02
1961-04,5.01
1961-05,5.01
1961-06,5.03
1961-07,5.09
1961-08,5.11
1961-09,5.12
1961-10,5.13
1961-11,5.11
1961-12,5.1
1962-01,5.08
1962-02,5.07
1962-03,5.04
1962-04,5.02
1962-05,5
1962-06,5.02
1962-07,5.05
1962-08,5.06
1962-09,5.03
1962-10,4.99
1962-11,4.96
1962-12,4.92
1963-01,4.91
1963-02,4.89
1963-03,4.88
1963-04,4.87
1963-05,4.85
1963-06,4.84
1963-07,4.84
1963-08,4.83
1963-09,4.84
1963-10,4.83
1963-11,4.84
1963-12,4.85
1964-01,4.83
1964-02,4.83
1964-03,4.83
1964-04,4.85
1964-05,4.85
1964-06,4.85
1964-07,4.83
1964-08,4.82
1964-09,4.82
1964-10,4.81
1964-11,4.81
1964-12,4.81
1965-01,4.8
1965-02,4.78
1965-03,4.78
1965-04,4.8
1965-05,4.81
1965-06,4.85
1965-07,4.88
1965-08,4.88
1965-09,4.91
1965-10,4.93
1965-11,4.95
1965-12,5.02
1966-01,5.06
1966-02,5.12
1966-03,5.32
1966-04,5.41
1966-05,5.48
1966-06,5.58
1966-07,5.68
1966-08,5.83
1966-09,6.09
1966-10,6.1
1966-11,6.13
1966-12,6.18
1967-01,5.97
1967-02,5.82
1967-03,5.85
1967-04,5.83
1967-05,5.96
1967-06,6.15
1967-07,6.26
1967-08,6.33
1967-09,6.4
1967-10,6.52
1967-11,6.72
1967-12,6.93
1968-01,6.84
1968-02,6.8
1968-03,6.85
1968-04,6.97
1968-05,7.03
1968-06,7.07
1968-07,6.98
1968-08,6.82
1968-09,6.79
1968-10,6.84
1968-11,7.01
1968-12,7.23
1969-01,7.32
1969-02,7.3
1969-03,7.51
1969-04,7.54
1969-05,7.52
1969-06,7.7
1969-07,7.84
1969-08,7.86
1969-09,8.05
1969-10,8.22
1969-11,8.25
1969-12,8.65
1970-01,8.86
1970-02,8.78
1970-03,8.63
1970-04,8.7
1970-05,8.98
1970-06,9.25
1970-07,9.4
1970-08,9.44
1970-09,9.39
1970-10,9.33
1970-11,9.38
1970-12,9.12
1971-01,8.74
1971-02,8.39
1971-03,8.46
1971-04,8.45
1971-05,8.62
1971-06,8.75
1971-07,8.76
1971-08,8.76
1971-09,8.59
1971-10,8.48
1971-11,8.38
1971-12,8.38
1972-01,8.23
1972-02,8.23
1972-03,8.24
1972-04,8.24
1972-05,8.23
1972-06,8.2
1972-07,8.23
1972-08,8.19
1972-09,8.09
1972-10,8.06
1972-11,7.99
1972-12,7.93
1973-01,7.9
1973-02,7.97
1973-03,8.03
1973-04,8.09
1973-05,8.06
1973-06,8.13
1973-07,8.24
1973-08,8.53
1973-09,8.63
1973-10,8.41
1973-11,8.42
1973-12,8.48
1974-01,8.48
1974-02,8.53
1974-03,8.62
1974-04,8.87
1974-05,9.05
1974-06,9.27
1974-07,9.48
1974-08,9.77
1974-09,10.18
1974-10,10.48
1974-11,10.6
1974-12,10.63
1975-01,10.81
1975-02,10.65
1975-03,10.48
1975-04,10.58
1975-05,10.69
1975-06,10.62
1975-07,10.55
1975-08,10.59
1975-09,10.61
1975-10,10.62
1975-11,10.56
1975-12,10.56
1976-01,10.41
1976-02,10.24
1976-03,10.12
1976-04,9.94
1976-05,9.86
1976-06,9.89
1976-07,9.82
1976-08,9.64
1976-09,9.4
1976-10,9.29
1976-11,9.23
1976-12,9.12
1977-01,9.08
1977-02,9.12
1977-03,9.12
1977-04,9.07
1977-05,9.01
1977-06,8.91
1977-07,8.87
1977-08,8.82
1977-09,8.8
1977-10,8.89
1977-11,8.95
1977-12,8.99
1978-01,9.17
1978-02,9.2
1978-03,9.22
1978-04,9.32
1978-05,9.49
1978-06,9.6
1978-07,9.6
1978-08,9.48
1978-09,9.42
1978-10,9.59
1978-11,9.83
1978-12,9.94
1979-01,10.13
1979-02,10.08
1979-03,10.26
1979-04,10.33
1979-05,10.47
1979-06,10.38
1979-07,10.29
1979-08,10.35
1979-09,10.54
1979-10,11.4
1979-11,11.99
1979-12,12.06
1980-01,12.42
1980-02,13.57
1980-03,14.45
1980-04,14.19
1980-05,13.17
1980-06,12.71
1980-07,12.65
1980-08,13.15
1980-09,13.7
1980-10,14.23
1980-11,14.64
1980-12,15.14
1981-01,15.03
1981-02,15.37
1981-03,15.34
1981-04,15.56
1981-05,15.95
1981-06,15.8
1981-07,16.17
1981-08,16.34
1981-09,16.92
1981-10,17.11
1981-11,16.39
1981-12,16.55
1982-01,17.1
1982-02,17.18
1982-03,16.82
1982-04,16.78
1982-05,16.64
1982-06,16.92
1982-07,16.8
1982-08,16.32
1982-09,15.63
1982-10,14.73
1982-11,14.3
1982-12,14.14
1983-01,13.94
1983-02,13.95
1983-03,13.61
1983-04,13.29
1983-05,13.09
1983-06,13.37
1983-07,13.39
1983-08,13.64
1983-09,13.55
1983-10,13.46
1983-11,13.61
1983-12,13.75
1984-01,13.65
1984-02,13.59
1984-03,13.99
1984-04,14.31
1984-05,14.74
1984-06,15.05
1984-07,15.15
1984-08,14.63
1984-09,14.35
1984-10,13.94
1984-11,13.48
1984-12,13.4
1985-01,13.26
1985-02,13.23
1985-03,13.69
1985-04,13.51
1985-05,13.15
1985-06,12.4
1985-07,12.43
1985-08,12.5
1985-09,12.48
1985-10,12.36
1985-11,11.99
1985-12,11.58
1986-01,11.44
1986-02,11.11
1986-03,10.5
1986-04,10.19
1986-05,10.29
1986-06,10.34
1986-07,10.16
1986-08,10.18
1986-09,10.2
1986-10,10.24
1986-11,10.07
1986-12,9.97
1987-01,9.72
1987-02,9.65
1987-03,9.61
1987-04,10.04
1987-05,10.51
1987-06,10.52
1987-07,10.61
1987-08,10.8
1987-09,11.31
1987-10,11.62
1987-11,11.23
1987-12,11.29
1988-01,11.07
1988-02,10.62
1988-03,10.57
1988-04,10.9
1988-05,11.04
1988-06,11
1988-07,11.11
1988-08,11.21
1988-09,10.9
1988-10,10.41
1988-11,10.48
1988-12,10.65
1989-01,10.65
1989-02,10.61
1989-03,10.67
1989-04,10.61
1989-05,10.46
1989-06,10.03
1989-07,9.87
1989-08,9.88
1989-09,9.91
1989-10,9.81
1989-11,9.81
1989-12,9.82
1990-01,9.94
1990-02,10.14
1990-03,10.21
1990-04,10.3
1990-05,10.41
1990-06,10.22
1990-07,10.2
1990-08,10.41
1990-09,10.64
1990-10,10.74
1990-11,10.62
1990-12,10.43
1991-01,10.45
1991-02,10.07
1991-03,10.09
1991-04,9.94
1991-05,9.86
1991-06,9.96
1991-07,9.89
1991-08,9.65
1991-09,9.51
1991-10,9.49
1991-11,9.45
1991-12,9.26
1992-01,9.13
1992-02,9.23
1992-03,9.25
1992-04,9.21
1992-05,9.13
1992-06,9.05
1992-07,8.84
1992-08,8.65
1992-09,8.62
1992-10,8.84
1992-11,8.96
1992-12,8.81
1993-01,8.67
1993-02,8.39
1993-03,8.15
1993-04,8.14
1993-05,8.21
1993-06,8.07
1993-07,7.93
1993-08,7.6
1993-09,7.34
1993-10,7.31
1993-11,7.66
1993-12,7.69
1994-01,7.65
1994-02,7.76
1994-03,8.13
1994-04,8.52
1994-05,8.62
1994-06,8.65
1994-07,8.8
1994-08,8.74
1994-09,8.98
1994-10,9.2
1994-11,9.32
1994-12,9.1
1995-01,9.08
1995-02,8.85
1995-03,8.7
1995-04,8.6
1995-05,8.2
1995-06,7.9
1995-07,8.04
1995-08,8.19
1995-09,7.93
1995-10,7.75
1995-11,7.68
1995-12,7.49
1996-01,7.47
1996-02,7.63
1996-03,8.03
1996-04,8.19
1996-05,8.3
1996-06,8.4
1996-07,8.35
1996-08,8.18
1996-09,8.35
1996-10,8.07
1996-11,7.79
1996-12,7.89
1997-01,8.09
1997-02,7.94
1997-03,8.18
1997-04,8.34
1997-05,8.2
1997-06,8.02
1997-07,7.75
1997-08,7.82
1997-09,7.7
1997-10,7.57
1997-11,7.42
1997-12,7.32
1998-01,7.19
1998-02,7.25
1998-03,7.32
1998-04,7.33
1998-05,7.3
1998-06,7.13
1998-07,7.15
1998-08,7.14
1998-09,7.09
1998-10,7.18
1998-11,7.34
1998-12,7.23
1999-01,7.29
1999-02,7.39
1999-03,7.53
1999-04,7.48
1999-05,7.72
1999-06,8.02
1999-07,7.95
1999-08,8.15
1999-09,8.2
1999-10,8.38
1999-11,8.15
1999-12,8.19
2000-01,8.33
2000-02,8.29
2000-03,8.37
2000-04,8.4
2000-05,8.9
2000-06,8.48
2000-07,8.35
2000-08,8.26
2000-09,8.35
2000-10,8.34
2000-11,8.28
2000-12,8.02
2001-01,7.93
2001-02,7.87
2001-03,7.84
2001-04,8.07
2001-05,8.07
2001-06,7.97
2001-07,7.97
2001-08,7.85
2001-09,8.03
2001-10,7.91
2001-11,7.81
2001-12,8.05
2002-01,7.87
2002-02,7.89
2002-03,8.11
2002-04,8.03
2002-05,8.09
2002-06,7.95
2002-07,7.9
2002-08,7.58
2002-09,7.4
2002-10,7.73
2002-11,7.62
2002-12,7.45
2003-01,7.35
2003-02,7.06
2003-03,6.95
2003-04,6.85
2003-05,6.38
2003-06,6.19
2003-07,6.62
2003-08,7.01
2003-09,6.79
2003-10,6.73
2003-11,6.66
2003-12,6.6
2004-01,6.44
2004-02,6.27
2004-03,6.11
2004-04,6.46
2004-05,6.75
2004-06,6.78
2004-07,6.62
2004-08,6.46
2004-09,6.27
2004-10,6.21
2004-11,6.2
2004-12,6.15
2005-01,6.02
2005-02,5.82
2005-03,6.06
2005-04,6.05
2005-05,6.01
2005-06,5.86
2005-07,5.95
2005-08,5.96
2005-09,6.03
2005-10,6.3
2005-11,6.39
2005-12,6.32
2006-01,6.24
2006-02,6.27
2006-03,6.41
2006-04,6.68
2006-05,6.75
2006-06,6.78
2006-07,6.76
2006-08,6.59
2006-09,6.43
2006-10,6.42
2006-11,6.2
2006-12,6.22
2007-01,6.34
2007-02,6.28
2007-03,6.27
2007-04,6.39
2007-05,6.39
2007-06,6.7
2007-07,6.65
2007-08,6.65
2007-09,6.59
2007-10,6.48
2007-11,6.4
2007-12,6.65
2008-01,6.54
2008-02,6.82
2008-03,6.89
2008-04,6.97
2008-05,6.93
2008-06,7.07
2008-07,7.16
2008-08,7.15
2008-09,7.31
2008-10,8.88
2008-11,9.21
2008-12,8.43
2009-01,8.14
2009-02,8.08
2009-03,8.42
2009-04,8.39
2009-05,8.06
2009-06,7.5
2009-07,7.09
2009-08,6.58
2009-09,6.31
2009-10,6.29
2009-11,6.32
2009-12,6.37
2010-01,6.25
2010-02,6.34
2010-03,6.27
2010-04,6.25
2010-05,6.05
2010-06,6.23
2010-07,6.01
2010-08,5.66
2010-09,5.66
2010-10,5.72
2010-11,5.92
2010-12,6.1
2011-01,6.09
2011-02,6.15
2011-03,6.03
2011-04,6.02
2011-05,5.78
2011-06,5.75
2011-07,5.76
2011-08,5.36
2011-09,5.27
2011-10,5.37
2011-11,5.14
2011-12,5.25
2012-01,5.23
2012-02,5.14
2012-03,5.23
2012-04,5.19
2012-05,5.07
2012-06,5.02
2012-07,4.87
2012-08,4.91
2012-09,4.84
2012-10,4.58
2012-11,4.51
2012-12,4.63
2013-01,4.73
2013-02,4.85
2013-03,4.85
2013-04,4.59
2013-05,4.73
2013-06,5.19
2013-07,5.32
