,cash,short_term_investments,accounts_receivable,inventory,ppe_net,total_liabilities,shareholders_equity,operating_cf,capex,dividends,sales,cogs,oibdp,net_income,interest_expense,current_ratio,quick_ratio,debt_to_assets,debt_to_equity,roa,asset_turnover,ocf_to_debt
cash,1.0,0.9088209627564551,0.6103896635990206,0.4546827000928642,0.13538959253788446,0.8285596382203607,0.5632042301823228,0.3030494727804227,0.1361244257495786,0.2648266913612275,0.2926029126330027,0.18239301228747745,0.5094048933330982,0.331618991499349,0.47356533308411475,-0.003299437671215748,-0.002963167101836667,-0.0017182233993572483,-0.0012473814373430894,0.0007411264920803037,-0.001717627425307839,0.0005323698130524434
short_term_investments,0.9088209627564551,1.0,0.5423016612670857,0.4515315341122708,0.09472672834504375,0.747589705078872,0.5670678582568699,0.21387316531423903,0.07898154020288406,0.27632936687734155,0.25081139799077934,0.14169281641575057,0.4657979420263473,0.3120074506426658,0.4540943417103804,-0.0012665223303016916,-0.0010287452254064571,-0.001428390439707272,-0.0013993425081110958,0.000579362941818331,-0.0014822631844749923,-0.00025705303576071517
accounts_receivable,0.6103896635990206,0.5423016612670857,1.0,0.238721650694955,0.08960079449965688,0.8991238783008834,0.4211383331906261,0.2498735405033701,0.09854584487240216,0.21477907820036493,0.257601198354263,0.12913375756493217,0.5821872945137688,0.2889385088379355,0.8771141123360481,-0.005223611550181662,-0.004930979210779364,-0.0014763020383992294,-0.008223878393088972,0.0006845187686989032,-0.0018164322487820208,-0.0003215948427267862
inventory,0.4546827000928642,0.4515315341122708,0.238721650694955,1.0,0.13564690949002187,0.3099653034918929,0.26961429405699777,0.07305719421614947,0.13800515731225527,0.16073185186473302,0.24014536790226335,0.20430213367421646,0.3108741927434601,0.19251456081873478,0.25712007840587053,-0.0052126115094246325,-0.005523133610413176,-0.0012295296853479245,-0.0005736904302412328,0.0005995152975147941,-0.0008024244471432539,-0.00032942638799629087
ppe_net,0.13538959253788446,0.09472672834504375,0.08960079449965688,0.13564690949002187,1.0,0.17112745106985328,0.6479920248809895,0.5870729604610896,0.8791927318110602,0.5457669013056498,0.7334607973743865,0.6981942634127318,0.6508485967591205,0.5042257101760477,0.13795266586311566,-0.0062221358372278645,-0.0058397330731649036,-0.003388840901208187,-0.0008891463183648977,0.0017449709154307477,-0.0020420592045418324,-0.0006755376832002882
total_liabilities,0.8285596382203607,0.747589705078872,0.8991238783008834,0.3099653034918929,0.17112745106985328,1.0,0.6325875884152927,0.3414692746629843,0.1727296456286235,0.34431818554910426,0.36409026299644753,0.23764467624620791,0.6336200628358795,0.35649974414043106,0.7776343875009418,-0.00709931305455678,-0.006652122140290356,-0.0022221373830349756,-0.007864336406720481,0.0009471072207039347,-0.0022584153099342442,-0.0003736484893722277
shareholders_equity,0.5632042301823228,0.5670678582568699,0.4211383331906261,0.26961429405699777,0.6479920248809895,0.6325875884152927,1.0,0.6628865860401598,0.6558855125617109,0.619697636483786,0.7246339350865929,0.6168304165390266,0.7946390984510311,0.6793231007140649,0.30711404528577274,-0.005343679693538267,-0.0050568593912769175,-0.004027504622788913,-0.0006668468517653556,0.0018143059884458937,-0.0027131815603680634,0.0007996549968525533
operating_cf,0.3030494727804227,0.21387316531423903,0.2498735405033701,0.07305719421614947,0.5870729604610896,0.3414692746629843,0.6628865860401598,1.0,0.6121343300031399,0.5710987854392926,0.6234275265374253,0.5348762827915856,0.6741180689400591,0.6160882468670245,0.1435296913069629,-0.005460997570034934,-0.005106258972749773,-0.003243153829628542,-0.001444371149659681,0.001446683723494284,-0.001537041268024322,0.003077223068578682
capex,0.1361244257495786,0.07898154020288406,0.09854584487240216,0.13800515731225527,0.8791927318110602,0.1727296456286235,0.6558855125617109,0.6121343300031399,1.0,0.544825216186818,0.7202346756886152,0.6682512940529342,0.6683429229663999,0.5158756888013994,0.17194884381990766,-0.005442607557420256,-0.005068550302933023,-0.0035598213796153417,-0.0008871794523644797,0.001635509033336768,-0.003495030034663941,-4.567766091315724e-05
dividends,0.2648266913612275,0.27632936687734155,0.21477907820036493,0.16073185186473302,0.5457669013056498,0.34431818554910426,0.619697636483786,0.5710987854392926,0.544825216186818,1.0,0.605612439347235,0.5045196143597931,0.6735305527622707,0.6694853795921272,0.21362031633973966,-0.004567536182611167,-0.004290050219175819,-0.0032903181339825854,-0.0006172574048167541,0.0015382346606475066,-0.001777047172078225,0.0026064627106461786
sales,0.2926029126330027,0.25081139799077934,0.257601198354263,0.24014536790226335,0.7334607973743865,0.36409026299644753,0.7246339350865929,0.6234275265374253,0.7202346756886152,0.605612439347235,1.0,0.9674339270692051,0.7582295344137998,0.6269626589918643,0.2515311274033391,-0.006021093213321595,-0.0058495235475113485,-0.004362491625136983,-0.0023897641223372813,0.001924920676563601,1.4268270580826963e-05,0.0033615446383628445
cogs,0.18239301228747745,0.14169281641575057,0.12913375756493217,0.20430213367421646,0.6981942634127318,0.23764467624620791,0.6168304165390266,0.5348762827915856,0.6682512940529342,0.5045196143597931,0.9674339270692051,1.0,0.6007864040562592,0.5080968557604115,0.1509772993427285,-0.005485044365661744,-0.005356677589080536,-0.0038903858456665846,-0.0012851717458355458,0.0017011462159388564,0.000729325683864952,0.0029257791332775204
oibdp,0.5094048933330982,0.4657979420263473,0.5821872945137688,0.3108741927434601,0.6508485967591205,0.6336200628358795,0.7946390984510311,0.6741180689400591,0.6683429229663999,0.6735305527622707,0.7582295344137998,0.6007864040562592,1.0,0.7610332831655866,0.6013110113013808,-0.005901789114643283,-0.005567804964379866,-0.003922581945884897,-0.004808853582845358,0.0018115742826430832,-0.002211238716470407,0.002291324620415673
net_income,0.331618991499349,0.3120074506426658,0.2889385088379355,0.19251456081873478,0.5042257101760477,0.35649974414043106,0.6793231007140649,0.6160882468670245,0.5158756888013994,0.6694853795921272,0.6269626589918643,0.5080968557604115,0.7610332831655866,1.0,0.19830235903405352,-0.0036121784345120754,-0.0034472339209759453,-0.0030201881919185805,0.000872700948768721,0.0016568838576126864,-0.0012951553696740675,0.003826920003084287
interest_expense,0.47356533308411475,0.4540943417103804,0.8771141123360481,0.25712007840587053,0.13795266586311566,0.7776343875009418,0.30711404528577274,0.1435296913069629,0.17194884381990766,0.21362031633973966,0.2515311274033391,0.1509772993427285,0.6013110113013808,0.19830235903405352,1.0,-0.00790453440819473,-0.007380958491892422,-0.0016846367675611637,-0.018646084398368377,0.0008194054029898364,-0.001585257322389781,-0.0005503125595110846
current_ratio,-0.003299437671215748,-0.0012665223303016916,-0.005223611550181662,-0.0052126115094246325,-0.0062221358372278645,-0.00709931305455678,-0.005343679693538267,-0.005460997570034934,-0.005442607557420256,-0.004567536182611167,-0.006021093213321595,-0.005485044365661744,-0.005901789114643283,-0.0036121784345120754,-0.00790453440819473,1.0,0.9997910558917381,-0.0012716101176189591,-0.0002943855248213467,0.0004778553685350007,-0.0007782517157642124,-0.0063860373997284125
quick_ratio,-0.002963167101836667,-0.0010287452254064571,-0.004930979210779364,-0.005523133610413176,-0.0058397330731649036,-0.006652122140290356,-0.0050568593912769175,-0.005106258972749773,-0.005068550302933023,-0.004290050219175819,-0.0058495235475113485,-0.005356677589080536,-0.005567804964379866,-0.0034472339209759453,-0.007380958491892422,0.9997910558917381,1.0,-0.001146688431814859,-0.000261019354525661,0.00042597668613841497,-0.000782300955536869,-0.007168471572680728
debt_to_assets,-0.0017182233993572483,-0.001428390439707272,-0.0014763020383992294,-0.0012295296853479245,-0.003388840901208187,-0.0022221373830349756,-0.004027504622788913,-0.003243153829628542,-0.0035598213796153417,-0.0032903181339825854,-0.004362491625136983,-0.0038903858456665846,-0.003922581945884897,-0.0030201881919185805,-0.0016846367675611637,-0.0012716101176189591,-0.001146688431814859,1.0,-9.087423786238286e-05,-0.0845726044673635,0.07004323010062673,-0.00023818118816032731
debt_to_equity,-0.0012473814373430894,-0.0013993425081110958,-0.008223878393088972,-0.0005736904302412328,-0.0008891463183648977,-0.007864336406720481,-0.0006668468517653556,-0.001444371149659681,-0.0008871794523644797,-0.0006172574048167541,-0.0023897641223372813,-0.0012851717458355458,-0.004808853582845358,0.000872700948768721,-0.018646084398368377,-0.0002943855248213467,-0.000261019354525661,-9.087423786238286e-05,1.0,7.912118236701215e-05,-0.00017837502131226268,-6.398887166394384e-05
roa,0.0007411264920803037,0.000579362941818331,0.0006845187686989032,0.0005995152975147941,0.0017449709154307477,0.0009471072207039347,0.0018143059884458937,0.001446683723494284,0.001635509033336768,0.0015382346606475066,0.001924920676563601,0.0017011462159388564,0.0018115742826430832,0.0016568838576126864,0.0008194054029898364,0.0004778553685350007,0.00042597668613841497,-0.0845726044673635,7.912118236701215e-05,1.0,-0.09042012624190672,0.00043714239727762297
asset_turnover,-0.001717627425307839,-0.0014822631844749923,-0.0018164322487820208,-0.0008024244471432539,-0.0020420592045418324,-0.0022584153099342442,-0.0027131815603680634,-0.001537041268024322,-0.003495030034663941,-0.001777047172078225,1.4268270580826963e-05,0.000729325683864952,-0.002211238716470407,-0.0012951553696740675,-0.001585257322389781,-0.0007782517157642124,-0.000782300955536869,0.07004323010062673,-0.00017837502131226268,-0.09042012624190672,1.0,0.00042474484154779186
ocf_to_debt,0.0005323698130524434,-0.00025705303576071517,-0.0003215948427267862,-0.00032942638799629087,-0.0006755376832002882,-0.0003736484893722277,0.0007996549968525533,0.003077223068578682,-4.567766091315724e-05,0.0026064627106461786,0.0033615446383628445,0.0029257791332775204,0.002291324620415673,0.003826920003084287,-0.0005503125595110846,-0.0063860373997284125,-0.007168471572680728,-0.00023818118816032731,-6.398887166394384e-05,0.00043714239727762297,0.00042474484154779186,1.0
